project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,1,6,0.0,false,18,0,5.40606867393991E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/tree/xpath/XPathTokenElement.java,runtime/Java/src/org/antlr/v4/runtime/tree/xpath/XPathTokenElement.java,org.antlr.v4.runtime.tree.xpath.XPathTokenElement,XPathTokenElement,6180,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,6,3,0.0,false,19,0,0.0019947539693436224,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/atn/RangeTransition.java,runtime/Java/src/org/antlr/v4/runtime/atn/RangeTransition.java,org.antlr.v4.runtime.atn.RangeTransition,RangeTransition,5157,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,8,28,0.0,false,181,0,0.0015398653003695106,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/atn/ATNSerializer.java,runtime/Java/src/org/antlr/v4/runtime/atn/ATNSerializer.java,org.antlr.v4.runtime.atn.ATNSerializer,ATNSerializer,1064,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,1,8,0.0,false,101,0,5.319954164578387E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool-testsuite/test/org/antlr/v4/test/tool/TestBufferedTokenStream.java,tool-testsuite/test/org/antlr/v4/test/tool/TestBufferedTokenStream.java,org.antlr.v4.test.tool.TestBufferedTokenStream,TestBufferedTokenStream,2088,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,ENUM,13,0,0.0,false,9,0,0.0030157933336375474,0,ENUM,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/atn/LexerActionType.java,runtime/Java/src/org/antlr/v4/runtime/atn/LexerActionType.java,org.antlr.v4.runtime.atn.LexerActionType,LexerActionType,3115,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,89,45,0.0,false,493,0,0.017807954355336504,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool/src/org/antlr/v4/tool/Grammar.java,tool/src/org/antlr/v4/tool/Grammar.java,org.antlr.v4.tool.Grammar,Grammar,44,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,7,2,0.0,false,13,0,0.0019357378980799935,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/atn/EpsilonTransition.java,runtime/Java/src/org/antlr/v4/runtime/atn/EpsilonTransition.java,org.antlr.v4.runtime.atn.EpsilonTransition,EpsilonTransition,5165,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,17,3,0.0,false,68,0,0.0014342304564085068,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/ANTLRInputStream.java,runtime/Java/src/org/antlr/v4/runtime/ANTLRInputStream.java,org.antlr.v4.runtime.ANTLRInputStream,ANTLRInputStream,2096,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,1,4,0.0,false,8,0,5.40606867393991E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/runtime/Java/src/org/antlr/v4/runtime/tree/xpath/XPathWildcardAnywhereElement.java,runtime/Java/src/org/antlr/v4/runtime/tree/xpath/XPathWildcardAnywhereElement.java,org.antlr.v4.runtime.tree.xpath.XPathWildcardAnywhereElement,XPathWildcardAnywhereElement,6197,unit
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,CONCRETE_CLASS,0,12,0.0,false,144,0,4.968051566365362E-4,0,CONCRETE_CLASS,/workspaces/my_arcan/temp/antlr4/tool-testsuite/test/org/antlr/v4/test/tool/TestCommonTokenStream.java,tool-testsuite/test/org/antlr/v4/test/tool/TestCommonTokenStream.java,org.antlr.v4.test.tool.TestCommonTokenStream,TestCommonTokenStream,3126,unit
